Title.1;Title.2;Title.3;Title.4;Date;DiaSemana
Matchday; Dentro del FC Barcelona; Temporada 1; Noche europea;sábado, 2 de mayo de 2020;7
Matchday; Dentro del FC Barcelona; Temporada 1; Punto de partido;sábado, 2 de mayo de 2020;7
Matchday; Dentro del FC Barcelona; Temporada 1; Los vecinos;sábado, 2 de mayo de 2020;7
Matchday; Dentro del FC Barcelona; Temporada 1; La maldición;viernes, 1 de mayo de 2020;6
Matchday; Dentro del FC Barcelona; Temporada 1; Territorio enemigo;viernes, 1 de mayo de 2020;6
Matchday; Dentro del FC Barcelona; Temporada 1; Un clásico del fútbol;jueves, 30 de abril de 2020;5
El último baile; Temporada 1; Episodio IV;;miércoles, 29 de abril de 2020;4
El último baile; Temporada 1; Episodio III;;lunes, 27 de abril de 2020;2
Vivir sin permiso; Temporada 2; Mil razones para no volver;;domingo, 26 de abril de 2020;1
Vivir sin permiso; Temporada 1; Episodio 13;;sábado, 25 de abril de 2020;7
Vivir sin permiso; Temporada 1; Episodio 12;;sábado, 25 de abril de 2020;7
Vivir sin permiso; Temporada 1; Episodio 11;;sábado, 25 de abril de 2020;7
Vivir sin permiso; Temporada 1; Episodio 10;;sábado, 25 de abril de 2020;7
Vivir sin permiso; Temporada 1; Episodio 9;;viernes, 24 de abril de 2020;6
Vivir sin permiso; Temporada 1; Episodio 8;;viernes, 24 de abril de 2020;6
El último baile; Temporada 1; Episodio II;;viernes, 24 de abril de 2020;6
El último baile; Temporada 1; Episodio I;;viernes, 24 de abril de 2020;6
Better Call Saul; Temporada 5; Algo imperdonable;;miércoles, 22 de abril de 2020;4
Vivir sin permiso; Temporada 1; Episodio 7;;martes, 21 de abril de 2020;3
Vivir sin permiso; Temporada 1; Episodio 6;;martes, 21 de abril de 2020;3
Vivir sin permiso; Temporada 1; Episodio 5;;martes, 21 de abril de 2020;3
Vivir sin permiso; Temporada 1; Episodio 4;;martes, 21 de abril de 2020;3
Jugando con fuego; Temporada 1; Quebrar o reventar;;lunes, 20 de abril de 2020;2
Jugando con fuego; Temporada 1; Amigas antes que chicos;;lunes, 20 de abril de 2020;2
Jugando con fuego; Temporada 1; No es Bryce, soy yo;;lunes, 20 de abril de 2020;2
Jugando con fuego; Temporada 1; De niños a hombres;;lunes, 20 de abril de 2020;2
Jugando con fuego; Temporada 1; Dos son compañía, tres... son un trío;;lunes, 20 de abril de 2020;2
Jugando con fuego; Temporada 1; La venganza es un plato que se sirve caliente;;lunes, 20 de abril de 2020;2
Jugando con fuego; Temporada 1; Cuando Harry conoció a Francesca;;lunes, 20 de abril de 2020;2
Jugando con fuego; Temporada 1; Amor, sexo o dinero;;lunes, 20 de abril de 2020;2
Vivir sin permiso; Temporada 1; Episodio 3;;domingo, 19 de abril de 2020;1
Vivir sin permiso; Temporada 1; Episodio 2;;sábado, 18 de abril de 2020;7
Vivir sin permiso; Temporada 1; Episodio 1;;sábado, 18 de abril de 2020;7
Blindspot; Temporada 4; El equipo desaparece;;sábado, 18 de abril de 2020;7
Blindspot; Temporada 4; Señores de la Guerra 1, 5-8;;sábado, 18 de abril de 2020;7
Blindspot; Temporada 4; Decodificando al asesino;;sábado, 18 de abril de 2020;7
Blindspot; Temporada 4; Todos odian a Kathy;;viernes, 17 de abril de 2020;6
Blindspot; Temporada 4; Familia;;viernes, 17 de abril de 2020;6
Blindspot; Temporada 4; La noche de la respiración agonizante;;jueves, 16 de abril de 2020;5
Blindspot; Temporada 4; Cuando Jane visita a un viejo amigo;;jueves, 16 de abril de 2020;5
Better Call Saul; Temporada 5; El camino de las malas elecciones;;martes, 14 de abril de 2020;3
Blindspot; Temporada 4; Lucha recurrente por la existencia;;martes, 14 de abril de 2020;3
Blindspot; Temporada 4; La gran explosión de un episodio pasado;;lunes, 13 de abril de 2020;2
Blindspot; Temporada 4; Entre la locura, existe un método;;lunes, 13 de abril de 2020;2
Blindspot; Temporada 4; La leyenda del Libro de secretos;;lunes, 13 de abril de 2020;2
Blindspot; Temporada 4; Susurro descuidado;;lunes, 13 de abril de 2020;2
Blindspot; Temporada 4; La gran revelación;;lunes, 13 de abril de 2020;2
Blindspot; Temporada 4; Revisa tu cabeza;;lunes, 13 de abril de 2020;2
Día del atentado;;;;domingo, 12 de abril de 2020;1
Blindspot; Temporada 4; Toques, golpes y prisioneros;;domingo, 12 de abril de 2020;1
Blindspot; Temporada 4; Caso; Sol, Luna y la verdad;domingo, 12 de abril de 2020;1
Blindspot; Temporada 4; Candidato para el crimen;;domingo, 12 de abril de 2020;1
Blindspot; Temporada 4; El mono malo pateó un árbol;;domingo, 12 de abril de 2020;1
Blindspot; Temporada 4; Cocinando al vacío;;domingo, 12 de abril de 2020;1
Blindspot; Temporada 4; La aventura con Quantico;;sábado, 11 de abril de 2020;7
Blindspot; Temporada 4; Mi proyecto de arte;;sábado, 11 de abril de 2020;7
The Good Place; Temporada 3; La balada de Donkey Doug;;sábado, 11 de abril de 2020;7
The Good Place; Temporada 3; Jeremy Bearimy;;sábado, 11 de abril de 2020;7
The Good Place; Temporada 3; El quitanieves;;sábado, 11 de abril de 2020;7
The Good Place; Temporada 3; La tribu de los cerebritos;;sábado, 11 de abril de 2020;7
Blindspot; Temporada 4; La gran farsante;;sábado, 11 de abril de 2020;7
The Good Place; Temporada 3; Todo está fenomenal;;sábado, 11 de abril de 2020;7
The Good Place; Temporada 2; Otro lugar;;viernes, 10 de abril de 2020;6
The Good Place; Temporada 2; El burrito;;viernes, 10 de abril de 2020;6
The Good Place; Temporada 2; Rhonda, Diana, Jake y Trent;;viernes, 10 de abril de 2020;6
The Good Place; Temporada 2; Mi mejor versión;;viernes, 10 de abril de 2020;6
The Good Place; Temporada 2; Acto de fe;;viernes, 10 de abril de 2020;6
The Good Place; Temporada 2; Derek;;viernes, 10 de abril de 2020;6
The Good Place; Temporada 2; Janet y Michael;;viernes, 10 de abril de 2020;6
The Good Place; Temporada 2; El dilema del tranvía;;viernes, 10 de abril de 2020;6
The Good Place; Temporada 2; Crisis existencial;;viernes, 10 de abril de 2020;6
The Good Place; Temporada 2; Cucarachas;;viernes, 10 de abril de 2020;6
The Good Place; Temporada 2; Decisión de bailar bailar;;viernes, 10 de abril de 2020;6
The Good Place; Temporada 2; ¡Todo marcha genial!;;viernes, 10 de abril de 2020;6
The Good Place; Temporada 1; La maniobra de Michael;;viernes, 10 de abril de 2020;6
The Good Place; Temporada 1; Mindy St. Claire;;jueves, 9 de abril de 2020;5
The Good Place; Temporada 1; Cuál es mi motivación;;jueves, 9 de abril de 2020;5
The Good Place; Temporada 1; La decisión de Chidi;;jueves, 9 de abril de 2020;5
The Good Place; Temporada 1; ...con alguien como yo como miembro;;jueves, 9 de abril de 2020;5
The Good Place; Temporada 1; El mayor progreso del año;;jueves, 9 de abril de 2020;5
The Good Place; Temporada 1; El chillido eterno;;jueves, 9 de abril de 2020;5
The Good Place; Temporada 1; Lo que nos debemos los unos a los otros;;jueves, 9 de abril de 2020;5
The Good Place; Temporada 1; Emergencia de crisis apocalíptica categoría 55;;jueves, 9 de abril de 2020;5
The Good Place; Temporada 1; Jason Mendoza;;jueves, 9 de abril de 2020;5
The Good Place; Temporada 1; Tahani Al-Jamil;;jueves, 9 de abril de 2020;5
The Good Place; Temporada 1; Volando;;jueves, 9 de abril de 2020;5
The Good Place; Temporada 1; Todo está bien;;jueves, 9 de abril de 2020;5
S.W.A.T. - Bajo asedio;;;;miércoles, 8 de abril de 2020;4
Better Call Saul; Temporada 5; Cobrador;;miércoles, 8 de abril de 2020;4
Coffee y Kareem;;;;lunes, 6 de abril de 2020;2
La cabaña;;;;domingo, 5 de abril de 2020;1
Pasante de moda;;;;domingo, 5 de abril de 2020;1
La casa de papel; El fenómeno;;;domingo, 5 de abril de 2020;1
John Wick 2 - Un nuevo día para matar;;;;domingo, 5 de abril de 2020;1
La casa de papel; Parte 4; Plan París;;viernes, 3 de abril de 2020;6
La casa de papel; Parte 4; Tumbar la carpa;;viernes, 3 de abril de 2020;6
La casa de papel; Parte 4; KO técnico;;viernes, 3 de abril de 2020;6
La casa de papel; Parte 4; 5 minutos antes;;viernes, 3 de abril de 2020;6
La casa de papel; Parte 4; Suspiros de España;;viernes, 3 de abril de 2020;6
La casa de papel; Parte 4; Lección de anatomía;;viernes, 3 de abril de 2020;6
La casa de papel; Parte 4; La boda de Berlín;;viernes, 3 de abril de 2020;6
